silabo,frekvenco,procento
(j|o|j),3575,0.0285
(gl|a),3559,0.0284
(kr|o),3556,0.0284
(fl|u),3541,0.0282
(ĝ|u|s),3537,0.0282
(∅|a|f),3534,0.0282
(tr|a|k),3497,0.0279
(ĉ|o),3488,0.0278
(z|a|ŭ),3487,0.0278
(st|e),3414,0.0272
(k|o|jn),3412,0.0272
(br|a),3406,0.0272
(t|a|k),3386,0.0270
(k|a|jn),3381,0.0270
(j|a|r),3380,0.0270
(kv|i),3370,0.0269
(∅|a|p),3340,0.0266
(st|a|n),3340,0.0266
(t|e|s),3300,0.0263
(kv|i|n),3274,0.0261
(c|a|j),3249,0.0259
(ĝ|o|s),3182,0.0254
(b|a|n),3177,0.0253
(∅|e|ks),3130,0.0250
(pr|i|n),3121,0.0249
(m|o|k),3110,0.0248
(n|o|m),3095,0.0247
(f|e|s),3081,0.0246
(d|e|ks),3075,0.0245
(s|u|p),3044,0.0243
(pr|o|b),3033,0.0242
(s|a|m),3026,0.0241
(str|a),3025,0.0241
(k|a|p),3025,0.0241
(st|u),2994,0.0239
(s|e|p),2992,0.0239
(s|o|l),2973,0.0237
(l|e|n),2973,0.0237
(d|e|r),2938,0.0234
(ĵ|o|jn),2918,0.0233
(ĵ|o|n),2912,0.0232
(r|a|jn),2903,0.0232
(c|a|s),2902,0.0231
(z|u),2876,0.0229
(gv|o|j),2869,0.0229
(kc|i),2847,0.0227
(ŝ|o),2823,0.0225
(∅|a|g),2806,0.0224
(p|a|n),2793,0.0223
(z|o|r),2788,0.0222
(p|i|s),2773,0.0221
(g|e|n),2771,0.0221
(b|o|r),2746,0.0219
(v|a|r),2704,0.0216
(f|e|n),2689,0.0214
(tr|e|p),2673,0.0213
(m|i|l),2666,0.0213
(n|e|b),2662,0.0212
(n|e|s),2658,0.0212
(gv|a),2638,0.0210
(b|i|s),2600,0.0207
(fl|a|n),2584,0.0206
(r|e|p),2560,0.0204
(f|i|r),2556,0.0204
(j|e|s),2551,0.0203
(f|a|j),2538,0.0202
(p|a|b),2536,0.0202
(tr|o|j),2528,0.0202
(c|e|nt),2509,0.0200
(d|a|k),2507,0.0200
(br|o|j),2505,0.0200
(d|o|s),2475,0.0197
(k|o|v),2474,0.0197
(r|u|s),2430,0.0194
(sk|u|l),2422,0.0193
(ĉ|a|m),2417,0.0193
(ŝ|i|s),2412,0.0192
(g|u|s),2383,0.0190
(p|a|j),2355,0.0188
(d|e|s),2336,0.0186
(ĉ|a|s),2326,0.0186
(b|a|ŭ),2315,0.0185
(kl|i),2312,0.0184
(g|o|jn),2307,0.0184
(kn|a),2305,0.0184
(tr|a|s),2289,0.0183
(pr|a),2274,0.0181
(z|u|l),2273,0.0181
(z|a|n),2273,0.0181
(p|u|d),2270,0.0181
(d|i|n),2226,0.0178
(sp|e|r),2223,0.0177
(t|u|t),2199,0.0175
(kr|o|m),2183,0.0174
(m|o|s),2176,0.0174
(kr|i|s),2156,0.0172
(l|a|r),2153,0.0172
(b|e|r),2139,0.0171
(n|a|jn),2136,0.0170
(l|a|jn),2132,0.0170
(d|u|s),2122,0.0169
(j|u|s),2112,0.0168
(b|a|l),2096,0.0167
(c|u),2095,0.0167
(c|o|jn),2094,0.0167
(ĉ|i|s),2093,0.0167
(tr|i|s),2085,0.0166
(r|a|k),2079,0.0166
(∅|a|t),2070,0.0165
(d|o|r),2045,0.0163
(ĵ|u|r),2037,0.0162
(c|a|n),2032,0.0162
(f|a|s),2021,0.0161
(d|e|b),2010,0.0160
(n|o|k),2001,0.0160
(p|u|n),1997,0.0159
(ĉ|e|f),1987,0.0158
(b|a|s),1982,0.0158
(ĉ|o|j),1977,0.0158
(fr|o|n),1976,0.0158
(s|o|jn),1963,0.0157
(r|o|m),1912,0.0152
(∅|o|s),1883,0.0150
(ĵ|e),1879,0.0150
(k|a|r),1873,0.0149
(pr|u),1867,0.0149
(h|u|n),1864,0.0149
(h|e|j),1841,0.0147
(v|a|jn),1821,0.0145
(ĝ|o|jn),1790,0.0143
(s|e|s),1782,0.0142
(pr|a|k),1774,0.0141
(kl|o),1767,0.0141
(v|o|l),1758,0.0140
(gv|o|n),1755,0.0140
(k|a|d),1748,0.0139
(f|i|n),1747,0.0139
(fr|u),1741,0.0139
(z|e|r),1737,0.0139
(gr|a|ŭ),1714,0.0137
(str|e),1700,0.0136
(l|e|s),1696,0.0135
(h|u),1696,0.0135
(d|u|n),1682,0.0134
(d|a|jn),1670,0.0133
(st|o),1658,0.0132
(g|i|p),1639,0.0131
(f|a|n),1623,0.0129
(b|e|s),1605,0.0128
(h|o|f),1602,0.0128
(t|a|b),1569,0.0125
(v|o|ĉ),1569,0.0125
(sp|e|k),1567,0.0125
(v|o|jn),1558,0.0124
(∅|a|b),1544,0.0123
(n|i|g),1540,0.0123
(n|e|n),1527,0.0122
(m|a|jn),1491,0.0119
(b|u|r),1487,0.0119
(ŝ|u|l),1463,0.0117
(kr|u),1442,0.0115
(ŝ|a|s),1441,0.0115
(gl|o),1432,0.0114
(fl|a),1420,0.0113
(l|u|s),1418,0.0113
(bl|a|n),1408,0.0112
(skl|a),1404,0.0112
(n|e|p),1394,0.0111
(m|e|t),1386,0.0111
(s|a|jn),1382,0.0110
(f|a|b),1380,0.0110
(b|i|l),1379,0.0110
(k|a|l),1371,0.0109
(z|a|j),1370,0.0109
(p|o|l),1369,0.0109
(∅|a|ŭs),1364,0.0109
(ĉ|o|n),1358,0.0108
(h|i),1357,0.0108
(s|o|s),1355,0.0108
(str|a|n),1352,0.0108
(v|i|d),1351,0.0108
(v|i|r),1347,0.0107
(b|i|b),1345,0.0107
(t|o|b),1343,0.0107
(z|o|jn),1335,0.0106
(l|a|l),1326,0.0106
(ĵ|u|s),1324,0.0106
(ŝt|o),1318,0.0105
(f|i|k),1312,0.0105
(tr|a|j),1297,0.0103
(m|u|r),1294,0.0103
(sl|o),1292,0.0103
(kt|o),1289,0.0103
(m|i|g),1287,0.0103
(d|o|k),1283,0.0102
(kt|a),1282,0.0102
(ĝ|a|j),1281,0.0102
(l|u|k),1274,0.0102
(d|e|t),1270,0.0101
(fr|e),1269,0.0101
(pl|e|k),1265,0.0101
(n|e|r),1258,0.0100
(l|o|s),1256,0.0100
(p|o|jn),1245,0.0099
(s|u|s),1243,0.0099
(c|e|m),1241,0.0099
(h|a|l),1232,0.0098
(s|o|r),1227,0.0098
(f|i|l),1221,0.0097
(t|e|b),1217,0.0097
(ĉ|a|j),1211,0.0097
(fr|e|m),1206,0.0096
(f|e|b),1203,0.0096
(m|u|lt),1198,0.0096
(sc|e),1191,0.0095
(f|o|j),1185,0.0095
(n|u|t),1183,0.0094
(z|o|s),1171,0.0093
(f|a|r),1168,0.0093
(pl|e|n),1166,0.0093
(f|i|s),1158,0.0092
(tr|i|n),1153,0.0092
(v|e|m),1150,0.0092
(pr|i|s),1124,0.0090
(br|o|n),1113,0.0089
(fl|o),1105,0.0088
(fl|i|k),1101,0.0088
(sv|e),1100,0.0088
(v|i|g),1099,0.0088
(c|i|r),1097,0.0087
(h|o|n),1095,0.0087
(n|o|v),1091,0.0087
(∅|e|m),1085,0.0087
(ĝ|e|n),1083,0.0086
(k|i|n),1074,0.0086
(d|i|p),1065,0.0085
(gv|a|j),1061,0.0085
(j|o|jn),1055,0.0084
(r|e|t),1044,0.0083
(b|o|jn),1038,0.0083
(k|e|lk),1037,0.0083
(kv|o),1032,0.0082
(ŝ|e),1018,0.0081
(m|o|nd),1012,0.0081
(t|a|g),1010,0.0081
(b|u|n),1008,0.0080
(g|e|b),1008,0.0080
(ŝ|u),991,0.0079
(b|u|l),971,0.0077
(pl|a|n),968,0.0077
(tr|o|n),957,0.0076
(∅|i|z),955,0.0076
(t|e|g),949,0.0076
(p|a|ŭ),948,0.0076
(dr|o),944,0.0075
(r|a|b),939,0.0075
(r|e|g),935,0.0075
(g|e|s),931,0.0074
(n|u|s),930,0.0074
(b|a|j),919,0.0073
(gv|i|s),919,0.0073
(f|u|r),918,0.0073
(bl|o),915,0.0073
(b|a|r),915,0.0073
(v|e|b),911,0.0073
(m|i|k),908,0.0072
(s|u|l),906,0.0072
(sp|a),896,0.0071
(ĉ|a|n),893,0.0071
(str|u|k),882,0.0070
(p|i|t),881,0.0070
(p|e|t),878,0.0070
(k|e|s),876,0.0070
(v|i|k),872,0.0070
(v|i|l),863,0.0069
(∅|o|g),863,0.0069
(gt|o),860,0.0069
(ĝ|a|r),859,0.0069
(∅|u|k),858,0.0068
(dr|a),833,0.0066
(sp|o|r),827,0.0066
(s|e|m),824,0.0066
(l|i|f),818,0.0065
(ĥ|a),813,0.0065
(b|e|l),812,0.0065
(d|a|m),812,0.0065
(t|o|m),802,0.0064
(v|i|c),799,0.0064
(g|a|jn),792,0.0063
(ĥ|i),791,0.0063
(fr|a|ŭ),782,0.0062
(c|i|p),782,0.0062
(p|i|n),772,0.0062
(br|e),766,0.0061
(ŝ|o|j),761,0.0061
(ĵ|u),760,0.0061
